group,statement_split,statement_idx,statement_id,alpha,alpha_norm,expected_probability
continuous09,test,34,test:34,-41.9,-1.0,0.1106038145340828
continuous09,test,35,test:35,-41.9,-1.0,0.05208218690396061
continuous09,test,36,test:36,-41.9,-1.0,0.12690165291378377
continuous09,test,37,test:37,-41.9,-1.0,0.15757659952050973
continuous09,test,38,test:38,-41.9,-1.0,0.011484318395564767
continuous09,test,39,test:39,-41.9,-1.0,0.025853018455111166
continuous09,test,40,test:40,-41.9,-1.0,0.13623616856839954
continuous09,test,0,test:0,-8.6,-0.205,0.8897078552078835
continuous09,test,1,test:1,-8.6,-0.205,0.596437529863985
continuous09,test,2,test:2,-8.6,-0.205,0.2736595581559622
continuous09,test,3,test:3,-8.6,-0.205,0.18715314530987298
continuous09,test,4,test:4,-8.6,-0.205,0.21491021802518934
continuous09,test,5,test:5,-8.6,-0.205,0.5415556629592403
continuous09,test,6,test:6,-8.6,-0.205,0.5687167265361163
continuous09,test,7,test:7,-8.6,-0.205,0.3198734971035103
continuous09,test,8,test:8,-8.6,-0.205,0.5382220325538039
continuous09,test,9,test:9,-8.6,-0.205,0.9999976586424117
continuous09,test,10,test:10,-8.6,-0.205,0.9998688034860126
continuous09,test,11,test:11,-8.6,-0.205,0.9962871722969123
continuous09,test,12,test:12,-8.6,-0.205,0.9999766495220539
continuous09,test,13,test:13,-8.6,-0.205,0.48097624518312504
continuous09,test,14,test:14,-8.6,-0.205,0.3248771376407704
continuous09,test,15,test:15,-8.6,-0.205,0.6762183694294354
continuous09,test,16,test:16,-8.6,-0.205,0.3633978539200455
continuous09,test,17,test:17,-8.6,-0.205,0.46981551626279533
continuous09,test,18,test:18,-8.6,-0.205,0.4146576708461241
continuous09,test,19,test:19,-8.6,-0.205,7.162874571666901e-07
continuous09,test,20,test:20,-8.6,-0.205,0.46725475227503593
continuous09,test,21,test:21,-8.6,-0.205,0.40438307689233954
continuous09,test,22,test:22,-8.6,-0.205,0.44411227116417534
continuous09,test,23,test:23,-8.6,-0.205,0.40286166196802264
continuous09,test,24,test:24,-8.6,-0.205,0.30126219592110864
continuous09,test,25,test:25,-8.6,-0.205,0.9244323561759631
continuous09,test,26,test:26,-8.6,-0.205,0.6123519399313003
continuous09,test,27,test:27,-8.6,-0.205,0.45958694476511464
continuous09,test,28,test:28,-8.6,-0.205,0.9973200065513956
continuous09,test,29,test:29,-8.6,-0.205,0.22187121973767382
continuous09,test,30,test:30,-8.6,-0.205,0.9563836365328727
continuous09,test,31,test:31,-8.6,-0.205,0.9990822726949813
continuous09,test,32,test:32,-8.6,-0.205,0.8231920651918027
continuous09,test,33,test:33,-8.6,-0.205,0.7823147914308748
continuous09,test,34,test:34,-8.6,-0.205,0.433372842293556
continuous09,test,35,test:35,-8.6,-0.205,0.9999397190623708
continuous09,test,36,test:36,-8.6,-0.205,0.9790245139767576
continuous09,test,37,test:37,-8.6,-0.205,0.6936614680116836
continuous09,test,38,test:38,-8.6,-0.205,0.3213622041849159
continuous09,test,39,test:39,-8.6,-0.205,0.999305786273626
continuous09,test,40,test:40,-8.6,-0.205,0.7500762128294838
continuous09,test,0,test:0,0.0,0.0,0.9997362233315928
continuous09,test,1,test:1,0.0,0.0,0.8561168272991408
continuous09,test,2,test:2,0.0,0.0,0.39887702479202525
continuous09,test,3,test:3,0.0,0.0,0.22423037501506643
continuous09,test,4,test:4,0.0,0.0,0.5436668377980195
continuous09,test,5,test:5,0.0,0.0,0.5534221397505469
continuous09,test,6,test:6,0.0,0.0,0.791030391687268
continuous09,test,7,test:7,0.0,0.0,0.3791314038569563
continuous09,test,8,test:8,0.0,0.0,0.5487747250237992
continuous09,test,9,test:9,0.0,0.0,1.0000000093660983
continuous09,test,10,test:10,0.0,0.0,0.9999991493134895
continuous09,test,11,test:11,0.0,0.0,0.9999913119582842
continuous09,test,12,test:12,0.0,0.0,0.9999999927670071
continuous09,test,13,test:13,0.0,0.0,0.7768764151448695
continuous09,test,14,test:14,0.0,0.0,0.4810331078899765
continuous09,test,15,test:15,0.0,0.0,0.889464885770603
continuous09,test,16,test:16,0.0,0.0,0.44772259397982406
continuous09,test,17,test:17,0.0,0.0,0.7596010133268591
continuous09,test,18,test:18,0.0,0.0,0.5920752357238264
continuous09,test,19,test:19,0.0,0.0,9.663355680822645e-07
continuous09,test,20,test:20,0.0,0.0,0.5488445047911411
continuous09,test,21,test:21,0.0,0.0,0.5102678805811931
continuous09,test,22,test:22,0.0,0.0,0.7832418171803663
continuous09,test,23,test:23,0.0,0.0,0.7492096086267848
continuous09,test,24,test:24,0.0,0.0,0.40094696167216537
continuous09,test,25,test:25,0.0,0.0,0.9991275008994506
continuous09,test,26,test:26,0.0,0.0,0.9100517022800481
continuous09,test,27,test:27,0.0,0.0,0.5434961183812993
continuous09,test,28,test:28,0.0,0.0,0.9999950571491834
continuous09,test,29,test:29,0.0,0.0,0.3415882528408754
continuous09,test,30,test:30,0.0,0.0,0.9995578167757694
continuous09,test,31,test:31,0.0,0.0,0.9999867687279672
continuous09,test,32,test:32,0.0,0.0,0.8991289086429917
continuous09,test,33,test:33,0.0,0.0,0.859382706748189
continuous09,test,34,test:34,0.0,0.0,0.7675759023554045
continuous09,test,35,test:35,0.0,0.0,0.9999991493118231
continuous09,test,36,test:36,0.0,0.0,0.9997373630165752
continuous09,test,37,test:37,0.0,0.0,0.8025076070103534
continuous09,test,38,test:38,0.0,0.0,0.386935218269007
continuous09,test,39,test:39,0.0,0.0,0.999991699409529
continuous09,test,40,test:40,0.0,0.0,0.8129257452565044
continuous09,test,0,test:0,24.7,0.426,0.9999386937681543
continuous09,test,1,test:1,24.7,0.426,0.9946557722508622
continuous09,test,2,test:2,24.7,0.426,0.9082818754611218
continuous09,test,3,test:3,24.7,0.426,0.8867743391565083
continuous09,test,4,test:4,24.7,0.426,0.8987222332004704
continuous09,test,5,test:5,24.7,0.426,0.8126601504413308
continuous09,test,6,test:6,24.7,0.426,0.8890453244858372
continuous09,test,7,test:7,24.7,0.426,0.7568019533051547
continuous09,test,8,test:8,24.7,0.426,0.6319096218874287
continuous09,test,9,test:9,24.7,0.426,0.9999999051324634
continuous09,test,10,test:10,24.7,0.426,0.999997614375682
continuous09,test,11,test:11,24.7,0.426,0.9999988913645578
continuous09,test,12,test:12,24.7,0.426,0.99999992696657
continuous09,test,13,test:13,24.7,0.426,0.8885665602053276
continuous09,test,14,test:14,24.7,0.426,0.8869492379358516
continuous09,test,15,test:15,24.7,0.426,0.9948390912431423
continuous09,test,16,test:16,24.7,0.426,0.8720650098008309
continuous09,test,17,test:17,24.7,0.426,0.8886810276360522
continuous09,test,18,test:18,24.7,0.426,0.9760496066236259
continuous09,test,19,test:19,24.7,0.426,0.7085552346197015
continuous09,test,20,test:20,24.7,0.426,0.8896488493521039
continuous09,test,21,test:21,24.7,0.426,0.8839827794090691
continuous09,test,22,test:22,24.7,0.426,0.892717377823575
continuous09,test,23,test:23,24.7,0.426,0.8933134942482686
continuous09,test,24,test:24,24.7,0.426,0.9088846207770117
continuous09,test,25,test:25,24.7,0.426,0.9992985535259891
continuous09,test,26,test:26,24.7,0.426,0.9960514397503926
continuous09,test,27,test:27,24.7,0.426,0.8909519994039257
continuous09,test,28,test:28,24.7,0.426,0.9999950892575438
continuous09,test,29,test:29,24.7,0.426,0.8462210767714407
continuous09,test,30,test:30,24.7,0.426,0.9999220964889702
continuous09,test,31,test:31,24.7,0.426,0.9999709822842886
continuous09,test,32,test:32,24.7,0.426,0.9992842753386486
continuous09,test,33,test:33,24.7,0.426,0.9431566350955721
continuous09,test,34,test:34,24.7,0.426,0.8823405777746366
continuous09,test,35,test:35,24.7,0.426,0.9999992636314068
continuous09,test,36,test:36,24.7,0.426,0.9998743098732796
continuous09,test,37,test:37,24.7,0.426,0.8895594039988362
continuous09,test,38,test:38,24.7,0.426,0.8643875063288203
continuous09,test,39,test:39,24.7,0.426,0.9999976085381805
continuous09,test,40,test:40,24.7,0.426,0.8916155445933731
continuous09,test,0,test:0,58.0,1.0,0.9995545903087295
continuous09,test,1,test:1,58.0,1.0,0.9961061124701163
continuous09,test,2,test:2,58.0,1.0,0.9933399661570215
continuous09,test,3,test:3,58.0,1.0,0.9960904771657262
continuous09,test,4,test:4,58.0,1.0,0.9874057885363159
continuous09,test,5,test:5,58.0,1.0,0.9080509205094232
continuous09,test,6,test:6,58.0,1.0,0.9312383871395422
continuous09,test,7,test:7,58.0,1.0,0.8855708871672836
continuous09,test,8,test:8,58.0,1.0,0.8880736076096691
continuous09,test,9,test:9,58.0,1.0,0.9999936646749453
continuous09,test,10,test:10,58.0,1.0,0.9999627382167494
continuous09,test,11,test:11,58.0,1.0,0.9999525679249278
continuous09,test,12,test:12,58.0,1.0,0.9999935524515506
continuous09,test,13,test:13,58.0,1.0,0.8953471691021044
continuous09,test,14,test:14,58.0,1.0,0.9048625911345282
continuous09,test,15,test:15,58.0,1.0,0.9797301780749004
continuous09,test,16,test:16,58.0,1.0,0.8972291776895445
continuous09,test,17,test:17,58.0,1.0,0.8906368359553992
continuous09,test,18,test:18,58.0,1.0,0.9993016370838131
continuous09,test,19,test:19,58.0,1.0,0.999825525561946
continuous09,test,20,test:20,58.0,1.0,0.975609814590748
continuous09,test,21,test:21,58.0,1.0,0.9440019961911076
continuous09,test,22,test:22,58.0,1.0,0.9144769647078146
continuous09,test,23,test:23,58.0,1.0,0.9358038711381289
continuous09,test,24,test:24,58.0,1.0,0.9932965150470618
continuous09,test,25,test:25,58.0,1.0,0.9914393709467682
continuous09,test,26,test:26,58.0,1.0,0.9757774597956728
continuous09,test,27,test:27,58.0,1.0,0.9239130996036086
continuous09,test,28,test:28,58.0,1.0,0.999835180243922
continuous09,test,29,test:29,58.0,1.0,0.9911881235375546
continuous09,test,30,test:30,58.0,1.0,0.9988894687910506
continuous09,test,31,test:31,58.0,1.0,0.9960431737119736
continuous09,test,32,test:32,58.0,1.0,0.999789847505148
continuous09,test,33,test:33,58.0,1.0,0.9797527528772589
continuous09,test,34,test:34,58.0,1.0,0.9048810767507381
continuous09,test,35,test:35,58.0,1.0,0.9999222225560381
continuous09,test,36,test:36,58.0,1.0,0.9960452749554105
continuous09,test,37,test:37,58.0,1.0,0.9147560515520483
continuous09,test,38,test:38,58.0,1.0,0.9497583451773749
continuous09,test,39,test:39,58.0,1.0,0.9999387400573045
continuous09,test,40,test:40,58.0,1.0,0.9365877509162464
binarySentiment,all,0,all:0,-41.9,-1.0,1.6918979226151304e-10
binarySentiment,all,1,all:1,-41.9,-1.0,8.764248219443637e-08
binarySentiment,all,2,all:2,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,3,all:3,-41.9,-1.0,3.2241867372567335e-08
binarySentiment,all,4,all:4,-41.9,-1.0,9.237449661970594e-09
binarySentiment,all,5,all:5,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,6,all:6,-41.9,-1.0,6.224144622907783e-11
binarySentiment,all,7,all:7,-41.9,-1.0,1.463778514125909e-12
binarySentiment,all,8,all:8,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,9,all:9,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,10,all:10,-41.9,-1.0,1.8795288165390832e-12
binarySentiment,all,11,all:11,-41.9,-1.0,2.289734845645553e-11
binarySentiment,all,12,all:12,-41.9,-1.0,2.289734845645553e-11
binarySentiment,all,13,all:13,-41.9,-1.0,6.560200168153779e-12
binarySentiment,all,14,all:14,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,15,all:15,-41.9,-1.0,4.193795658379545e-13
binarySentiment,all,16,all:16,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,17,all:17,-41.9,-1.0,4.363462252943701e-09
binarySentiment,all,18,all:18,-41.9,-1.0,1.4449802461092448e-07
binarySentiment,all,19,all:19,-41.9,-1.0,5.602796437537268e-09
binarySentiment,all,20,all:20,-41.9,-1.0,3.97896253583724e-12
binarySentiment,all,21,all:21,-41.9,-1.0,9.237449661970594e-09
binarySentiment,all,22,all:22,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,23,all:23,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,24,all:24,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,25,all:25,-41.9,-1.0,3.5817479302831805e-10
binarySentiment,all,26,all:26,-41.9,-1.0,7.582560427911907e-10
binarySentiment,all,27,all:27,-41.9,-1.0,1.388794386496402e-11
binarySentiment,all,28,all:28,-41.9,-1.0,1.388794386496402e-11
binarySentiment,all,29,all:29,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,30,all:30,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,31,all:31,-41.9,-1.0,6.224144622907783e-11
binarySentiment,all,32,all:32,-41.9,-1.0,2.9400777392844726e-11
binarySentiment,all,33,all:33,-41.9,-1.0,1.1861120151343832e-08
binarySentiment,all,34,all:34,-41.9,-1.0,4.363462252943701e-09
binarySentiment,all,35,all:35,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,36,all:36,-41.9,-1.0,7.582560427911907e-10
binarySentiment,all,37,all:37,-41.9,-1.0,1.6918979226151304e-10
binarySentiment,all,38,all:38,-41.9,-1.0,7.582560427911907e-10
binarySentiment,all,39,all:39,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,40,all:40,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,41,all:41,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,42,all:42,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,43,all:43,-41.9,-1.0,7.991959892953931e-11
binarySentiment,all,44,all:44,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,45,all:45,-41.9,-1.0,7.194133030325384e-09
binarySentiment,all,46,all:46,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,47,all:47,-41.9,-1.0,1.5229979744712632e-08
binarySentiment,all,48,all:48,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,49,all:49,-41.9,-1.0,7.991959892953931e-11
binarySentiment,all,50,all:50,-41.9,-1.0,2.061153622438558e-09
binarySentiment,all,51,all:51,-41.9,-1.0,1.317651427009547e-10
binarySentiment,all,52,all:52,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,53,all:53,-41.9,-1.0,1.317651427009547e-10
binarySentiment,all,54,all:54,-41.9,-1.0,1.855391362615978e-07
binarySentiment,all,55,all:55,-41.9,-1.0,2.5109991557439816e-08
binarySentiment,all,56,all:56,-41.9,-1.0,2.289734845645553e-11
binarySentiment,all,57,all:57,-41.9,-1.0,6.560200168153779e-12
binarySentiment,all,58,all:58,-41.9,-1.0,4.363462252943701e-09
binarySentiment,all,59,all:59,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,60,all:60,-41.9,-1.0,2.061153622438558e-09
binarySentiment,all,61,all:61,-41.9,-1.0,3.2241867372567335e-08
binarySentiment,all,62,all:62,-41.9,-1.0,2.061153622438558e-09
binarySentiment,all,63,all:63,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,64,all:64,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,65,all:65,-41.9,-1.0,1.463778514125909e-12
binarySentiment,all,66,all:66,-41.9,-1.0,6.224144622907783e-11
binarySentiment,all,67,all:67,-41.9,-1.0,3.5817479302831805e-10
binarySentiment,all,68,all:68,-41.9,-1.0,8.423463754468647e-12
binarySentiment,all,69,all:69,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,70,all:70,-41.9,-1.0,1.0261879631701889e-10
binarySentiment,all,71,all:71,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,72,all:72,-41.9,-1.0,1.1861120151343832e-08
binarySentiment,all,73,all:73,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,74,all:74,-41.9,-1.0,8.423463754468647e-12
binarySentiment,all,75,all:75,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,76,all:76,-41.9,-1.0,5.109089028063324e-12
binarySentiment,all,77,all:77,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,78,all:78,-41.9,-1.0,3.2241867372567335e-08
binarySentiment,all,79,all:79,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,80,all:80,-41.9,-1.0,1.1253517471925913e-07
binarySentiment,all,81,all:81,-41.9,-1.0,1.317651427009547e-10
binarySentiment,all,82,all:82,-41.9,-1.0,3.775134544279098e-11
binarySentiment,all,83,all:83,-41.9,-1.0,5.602796437537268e-09
binarySentiment,all,84,all:84,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,85,all:85,-41.9,-1.0,1.388794386496402e-11
binarySentiment,all,86,all:86,-41.9,-1.0,7.194133030325384e-09
binarySentiment,all,87,all:87,-41.9,-1.0,6.475952175842209e-07
binarySentiment,all,88,all:88,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,89,all:89,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,90,all:90,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,91,all:91,-41.9,-1.0,3.775134544279098e-11
binarySentiment,all,92,all:92,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,93,all:93,-41.9,-1.0,4.8473687062702556e-11
binarySentiment,all,94,all:94,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,95,all:95,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,96,all:96,-41.9,-1.0,1.783247290814639e-11
binarySentiment,all,97,all:97,-41.9,-1.0,2.5109991557439816e-08
binarySentiment,all,98,all:98,-41.9,-1.0,3.5817479302831805e-10
binarySentiment,all,99,all:99,-41.9,-1.0,2.4133627718332147e-12
binarySentiment,all,100,all:100,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,101,all:101,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,102,all:102,-41.9,-1.0,6.560200168153779e-12
binarySentiment,all,103,all:103,-41.9,-1.0,3.5817479302831805e-10
binarySentiment,all,104,all:104,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,105,all:105,-41.9,-1.0,1.317651427009547e-10
binarySentiment,all,106,all:106,-41.9,-1.0,7.991959892953931e-11
binarySentiment,all,107,all:107,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,108,all:108,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,109,all:109,-41.9,-1.0,2.9400777392844726e-11
binarySentiment,all,110,all:110,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,111,all:111,-41.9,-1.0,3.098819138721825e-12
binarySentiment,all,112,all:112,-41.9,-1.0,6.224144622907783e-11
binarySentiment,all,113,all:113,-41.9,-1.0,3.098819138721825e-12
binarySentiment,all,114,all:114,-41.9,-1.0,5.602796437537268e-09
binarySentiment,all,115,all:115,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,116,all:116,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,117,all:117,-41.9,-1.0,4.193795658379545e-13
binarySentiment,all,118,all:118,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,119,all:119,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,120,all:120,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,121,all:121,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,122,all:122,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,123,all:123,-41.9,-1.0,3.5817479302831805e-10
binarySentiment,all,124,all:124,-41.9,-1.0,2.5109991557439816e-08
binarySentiment,all,125,all:125,-41.9,-1.0,1.1861120151343832e-08
binarySentiment,all,126,all:126,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,127,all:127,-41.9,-1.0,2.3823696675018185e-07
binarySentiment,all,128,all:128,-41.9,-1.0,2.646573638909117e-09
binarySentiment,all,129,all:129,-41.9,-1.0,2.061153622438558e-09
binarySentiment,all,130,all:130,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,131,all:131,-41.9,-1.0,1.9555681087850496e-08
binarySentiment,all,132,all:132,-41.9,-1.0,5.602796437537268e-09
binarySentiment,all,133,all:133,-41.9,-1.0,4.8473687062702556e-11
binarySentiment,all,134,all:134,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,135,all:135,-41.9,-1.0,9.237449661970594e-09
binarySentiment,all,136,all:136,-41.9,-1.0,4.363462252943701e-09
binarySentiment,all,137,all:137,-41.9,-1.0,4.8473687062702556e-11
binarySentiment,all,138,all:138,-41.9,-1.0,7.194133030325384e-09
binarySentiment,all,139,all:139,-41.9,-1.0,1.9555681087850496e-08
binarySentiment,all,140,all:140,-41.9,-1.0,4.363462252943701e-09
binarySentiment,all,141,all:141,-41.9,-1.0,3.398267819495071e-09
binarySentiment,all,142,all:142,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,143,all:143,-41.9,-1.0,1.783247290814639e-11
binarySentiment,all,144,all:144,-41.9,-1.0,1.6918979226151304e-10
binarySentiment,all,145,all:145,-41.9,-1.0,1.317651427009547e-10
binarySentiment,all,146,all:146,-41.9,-1.0,3.059023205018258e-07
binarySentiment,all,147,all:147,-41.9,-1.0,6.560200168153779e-12
binarySentiment,all,148,all:148,-41.9,-1.0,5.602796437537268e-09
binarySentiment,all,149,all:149,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,150,all:150,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,151,all:151,-41.9,-1.0,4.5990553786523166e-10
binarySentiment,all,152,all:152,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,153,all:153,-41.9,-1.0,2.5109991557439816e-08
binarySentiment,all,154,all:154,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,155,all:155,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,156,all:156,-41.9,-1.0,4.1399377187851675e-08
binarySentiment,all,157,all:157,-41.9,-1.0,1.1861120151343832e-08
binarySentiment,all,158,all:158,-41.9,-1.0,9.736200313009563e-10
binarySentiment,all,159,all:159,-41.9,-1.0,1.6918979226151304e-10
binarySentiment,all,160,all:160,-41.9,-1.0,1.5229979744712632e-08
binarySentiment,all,161,all:161,-41.9,-1.0,7.194133030325384e-09
binarySentiment,all,162,all:162,-41.9,-1.0,2.1724399350790168e-10
binarySentiment,all,163,all:163,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,164,all:164,-41.9,-1.0,2.061153622438558e-09
binarySentiment,all,165,all:165,-41.9,-1.0,3.775134544279098e-11
binarySentiment,all,166,all:166,-41.9,-1.0,1.855391362615978e-07
binarySentiment,all,167,all:167,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,168,all:168,-41.9,-1.0,1.2501528663867426e-09
binarySentiment,all,169,all:169,-41.9,-1.0,2.7894680928689246e-10
binarySentiment,all,170,all:170,-41.9,-1.0,6.82560337633487e-08
binarySentiment,all,171,all:171,-41.9,-1.0,1.6918979226151304e-10
binarySentiment,all,172,all:172,-41.9,-1.0,1.6052280551856114e-09
binarySentiment,all,173,all:173,-41.9,-1.0,5.905303998944038e-10
binarySentiment,all,174,all:174,-41.9,-1.0,2.646573638909117e-09
binarySentiment,all,0,all:0,-8.6,-0.205,1.8795288165390832e-12
binarySentiment,all,1,all:1,-8.6,-0.205,7.889324827200223e-06
binarySentiment,all,2,all:2,-8.6,-0.205,4.8473687062702556e-11
binarySentiment,all,3,all:3,-8.6,-0.205,0.9819759354668612
binarySentiment,all,4,all:4,-8.6,-0.205,0.777281172269963
binarySentiment,all,5,all:5,-8.6,-0.205,8.878265478459659e-13
binarySentiment,all,6,all:6,-8.6,-0.205,1.5428112031918877e-13
binarySentiment,all,7,all:7,-8.6,-0.205,1.4828213355760042e-17
binarySentiment,all,8,all:8,-8.6,-0.205,0.9999995231629556
binarySentiment,all,9,all:9,-8.6,-0.205,0.9996643629793364
binarySentiment,all,10,all:10,-8.6,-0.205,1.0956650033262367e-16
binarySentiment,all,11,all:11,-8.6,-0.205,3.442477108469976e-14
binarySentiment,all,12,all:12,-8.6,-0.205,2.9783262686202286e-16
binarySentiment,all,13,all:13,-8.6,-0.205,2.9783262686202286e-16
binarySentiment,all,14,all:14,-8.6,-0.205,8.878265478459659e-13
binarySentiment,all,15,all:15,-8.6,-0.205,1.0956650033262367e-16
binarySentiment,all,16,all:16,-8.6,-0.205,3.5817479302831805e-10
binarySentiment,all,17,all:17,-8.6,-0.205,1.0
binarySentiment,all,18,all:18,-8.6,-0.205,0.9999982118622556
binarySentiment,all,19,all:19,-8.6,-0.205,2.646573638909117e-09
binarySentiment,all,20,all:20,-8.6,-0.205,3.824246628097135e-16
binarySentiment,all,21,all:21,-8.6,-0.205,7.582560427911907e-10
binarySentiment,all,22,all:22,-8.6,-0.205,6.14421235332821e-06
binarySentiment,all,23,all:23,-8.6,-0.205,2.543665647376924e-13
binarySentiment,all,24,all:24,-8.6,-0.205,1.2015425731771784e-13
binarySentiment,all,25,all:25,-8.6,-0.205,1.0261879631701889e-10
binarySentiment,all,26,all:26,-8.6,-0.205,1.6918979226151304e-10
binarySentiment,all,27,all:27,-8.6,-0.205,1.2664165549094176e-14
binarySentiment,all,28,all:28,-8.6,-0.205,4.910429870159115e-16
binarySentiment,all,29,all:29,-8.6,-0.205,1.0261879631701889e-10
binarySentiment,all,30,all:30,-8.6,-0.205,0.2691463487291838
binarySentiment,all,31,all:31,-8.6,-0.205,3.628344178047045e-15
binarySentiment,all,32,all:32,-8.6,-0.205,1.2015425731771784e-13
binarySentiment,all,33,all:33,-8.6,-0.205,1.0
