model_name,i,alpha,alpha_norm,alignment_pressure,answer_stance,reasoning_stance
qwen25_3b,42,-14.32,-0.8,-0.8,2.0,2.0
qwen25_3b,45,-14.32,-0.8,-0.8,3.0,4.0
qwen25_3b,44,-14.32,-0.8,-0.8,3.0,4.0
qwen25_3b,40,-14.32,-0.8,-0.8,1.0,2.0
qwen25_3b,46,-14.32,-0.8,-0.8,2.0,2.0
qwen25_3b,28,-17.9,-1.0,-1.0,1.0,1.0
qwen25_3b,43,-14.32,-0.8,-0.8,3.0,4.0
qwen25_3b,47,-14.32,-0.8,-0.8,3.0,4.0
qwen25_3b,49,-14.32,-0.8,-0.8,3.0,4.0
qwen25_3b,51,-14.32,-0.8,-0.8,3.0,1.0
qwen25_3b,48,-14.32,-0.8,-0.8,3.0,2.0
qwen25_3b,53,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,52,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,54,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,55,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,59,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,58,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,56,-14.32,-0.8,-0.8,1.0,2.0
qwen25_3b,50,-14.32,-0.8,-0.8,2.0,4.0
qwen25_3b,61,-10.74,-0.6,-0.6,4.0,4.0
qwen25_3b,60,-10.74,-0.6,-0.6,4.0,4.0
qwen25_3b,62,-10.74,-0.6,-0.6,2.0,3.0
qwen25_3b,57,-14.32,-0.8,-0.8,1.0,1.0
qwen25_3b,64,-10.74,-0.6,-0.6,1.0,7.0
qwen25_3b,63,-10.74,-0.6,-0.6,1.0,6.0
qwen25_3b,68,-10.74,-0.6,-0.6,4.0,4.0
qwen25_3b,69,-10.74,-0.6,-0.6,1.0,4.0
qwen25_3b,65,-10.74,-0.6,-0.6,4.0,4.0
qwen25_3b,66,-10.74,-0.6,-0.6,1.0,2.0
qwen25_3b,67,-10.74,-0.6,-0.6,1.0,3.0
qwen25_3b,72,-10.74,-0.6,-0.6,3.0,4.0
qwen25_3b,71,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,75,-10.74,-0.6,-0.6,3.0,4.0
qwen25_3b,70,-10.74,-0.6,-0.6,4.0,4.0
qwen25_3b,77,-10.74,-0.6,-0.6,3.0,2.0
qwen25_3b,76,-10.74,-0.6,-0.6,2.0,1.0
qwen25_3b,82,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,81,-10.74,-0.6,-0.6,3.0,1.0
qwen25_3b,79,-10.74,-0.6,-0.6,2.0,4.0
qwen25_3b,87,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,74,-10.74,-0.6,-0.6,3.0,4.0
qwen25_3b,73,-10.74,-0.6,-0.6,3.0,4.0
qwen25_3b,85,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,83,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,88,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,86,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,80,-10.74,-0.6,-0.6,1.0,2.0
qwen25_3b,84,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,89,-10.74,-0.6,-0.6,1.0,1.0
qwen25_3b,90,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,78,-10.74,-0.6,-0.6,1.0,2.0
qwen25_3b,93,-7.16,-0.4,-0.4,2.0,3.0
qwen25_3b,91,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,92,-7.16,-0.4,-0.4,2.0,4.0
qwen25_3b,94,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,99,-7.16,-0.4,-0.4,2.0,4.0
qwen25_3b,95,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,101,-7.16,-0.4,-0.4,1.0,2.0
qwen25_3b,98,-7.16,-0.4,-0.4,1.0,4.0
qwen25_3b,103,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,97,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,96,-7.16,-0.4,-0.4,1.0,2.0
qwen25_3b,102,-7.16,-0.4,-0.4,2.0,4.0
qwen25_3b,105,-7.16,-0.4,-0.4,5.0,4.0
qwen25_3b,100,-7.16,-0.4,-0.4,2.0,4.0
qwen25_3b,104,-7.16,-0.4,-0.4,5.0,4.0
qwen25_3b,108,-7.16,-0.4,-0.4,2.0,4.0
qwen25_3b,114,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,107,-7.16,-0.4,-0.4,5.0,4.0
qwen25_3b,112,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,106,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,111,-7.16,-0.4,-0.4,1.0,2.0
qwen25_3b,109,-7.16,-0.4,-0.4,3.0,4.0
qwen25_3b,113,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,110,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,115,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,119,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,118,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,116,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,122,-3.58,-0.2,-0.2,2.0,2.0
qwen25_3b,117,-7.16,-0.4,-0.4,1.0,1.0
qwen25_3b,121,-3.58,-0.2,-0.2,5.0,4.0
qwen25_3b,123,-3.58,-0.2,-0.2,2.0,2.0
qwen25_3b,124,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,125,-3.58,-0.2,-0.2,4.0,4.0
qwen25_3b,120,-3.58,-0.2,-0.2,3.0,4.0
qwen25_3b,127,-3.58,-0.2,-0.2,2.0,2.0
qwen25_3b,126,-3.58,-0.2,-0.2,1.0,2.0
qwen25_3b,129,-3.58,-0.2,-0.2,4.0,4.0
qwen25_3b,132,-3.58,-0.2,-0.2,2.0,3.0
qwen25_3b,134,-3.58,-0.2,-0.2,5.0,4.0
qwen25_3b,133,-3.58,-0.2,-0.2,5.0,4.0
qwen25_3b,128,-3.58,-0.2,-0.2,3.0,4.0
qwen25_3b,131,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,130,-3.58,-0.2,-0.2,2.0,3.0
qwen25_3b,135,-3.58,-0.2,-0.2,6.0,6.0
qwen25_3b,137,-3.58,-0.2,-0.2,5.0,6.0
qwen25_3b,136,-3.58,-0.2,-0.2,2.0,4.0
qwen25_3b,144,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,142,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,141,-3.58,-0.2,-0.2,4.0,2.0
qwen25_3b,140,-3.58,-0.2,-0.2,4.0,4.0
qwen25_3b,138,-3.58,-0.2,-0.2,2.0,4.0
qwen25_3b,146,-3.58,-0.2,-0.2,4.0,1.0
qwen25_3b,139,-3.58,-0.2,-0.2,3.0,4.0
qwen25_3b,147,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,145,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,149,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,148,-3.58,-0.2,-0.2,1.0,2.0
qwen25_3b,143,-3.58,-0.2,-0.2,1.0,1.0
qwen25_3b,150,0.0,0.0,0.0,3.0,4.0
qwen25_3b,151,0.0,0.0,0.0,6.0,4.0
qwen25_3b,154,0.0,0.0,0.0,1.0,1.0
qwen25_3b,152,0.0,0.0,0.0,2.0,2.0
qwen25_3b,153,0.0,0.0,0.0,7.0,6.0
qwen25_3b,155,0.0,0.0,0.0,4.0,4.0
qwen25_3b,156,0.0,0.0,0.0,2.0,4.0
qwen25_3b,160,0.0,0.0,0.0,3.0,4.0
qwen25_3b,159,0.0,0.0,0.0,1.0,2.0
qwen25_3b,157,0.0,0.0,0.0,5.0,2.0
qwen25_3b,158,0.0,0.0,0.0,5.0,4.0
qwen25_3b,161,0.0,0.0,0.0,1.0,1.0
qwen25_3b,162,0.0,0.0,0.0,3.0,3.0
qwen25_3b,166,0.0,0.0,0.0,5.0,3.0
qwen25_3b,163,0.0,0.0,0.0,3.0,4.0
qwen25_3b,167,0.0,0.0,0.0,5.0,5.0
qwen25_3b,168,0.0,0.0,0.0,1.0,3.0
qwen25_3b,170,0.0,0.0,0.0,3.0,4.0
qwen25_3b,165,0.0,0.0,0.0,5.0,4.0
qwen25_3b,173,0.0,0.0,0.0,1.0,1.0
qwen25_3b,164,0.0,0.0,0.0,5.0,4.0
qwen25_3b,172,0.0,0.0,0.0,1.0,1.0
qwen25_3b,171,0.0,0.0,0.0,3.0,3.0
qwen25_3b,176,0.0,0.0,0.0,4.0,1.0
qwen25_3b,174,0.0,0.0,0.0,1.0,1.0
qwen25_3b,178,0.0,0.0,0.0,1.0,1.0
qwen25_3b,175,0.0,0.0,0.0,3.0,1.0
qwen25_3b,181,9.08,0.2,0.2,5.0,4.0
qwen25_3b,169,0.0,0.0,0.0,2.0,2.0
qwen25_3b,183,9.08,0.2,0.2,3.0,4.0
qwen25_3b,177,0.0,0.0,0.0,1.0,1.0
qwen25_3b,180,9.08,0.2,0.2,3.0,4.0
qwen25_3b,182,9.08,0.2,0.2,2.0,1.0
qwen25_3b,185,9.08,0.2,0.2,3.0,4.0
qwen25_3b,179,0.0,0.0,0.0,1.0,1.0
qwen25_3b,186,9.08,0.2,0.2,5.0,4.0
qwen25_3b,187,9.08,0.2,0.2,5.0,2.0
qwen25_3b,190,9.08,0.2,0.2,3.0,4.0
qwen25_3b,191,9.08,0.2,0.2,1.0,1.0
qwen25_3b,195,9.08,0.2,0.2,7.0,4.0
qwen25_3b,194,9.08,0.2,0.2,5.0,4.0
qwen25_3b,188,9.08,0.2,0.2,1.0,1.0
qwen25_3b,192,9.08,0.2,0.2,2.0,2.0
qwen25_3b,184,9.08,0.2,0.2,1.0,7.0
qwen25_3b,189,9.08,0.2,0.2,5.0,4.0
qwen25_3b,196,9.08,0.2,0.2,5.0,4.0
qwen25_3b,193,9.08,0.2,0.2,3.0,2.0
qwen25_3b,197,9.08,0.2,0.2,5.0,4.0
qwen25_3b,198,9.08,0.2,0.2,3.0,2.0
qwen25_3b,199,9.08,0.2,0.2,4.0,4.0
qwen25_3b,201,9.08,0.2,0.2,3.0,3.0
qwen25_3b,203,9.08,0.2,0.2,1.0,1.0
qwen25_3b,202,9.08,0.2,0.2,1.0,1.0
qwen25_3b,200,9.08,0.2,0.2,4.0,3.0
qwen25_3b,205,9.08,0.2,0.2,3.0,2.0
qwen25_3b,204,9.08,0.2,0.2,1.0,1.0
qwen25_3b,207,9.08,0.2,0.2,1.0,1.0
qwen25_3b,208,9.08,0.2,0.2,1.0,1.0
qwen25_3b,211,18.16,0.4,0.4,6.0,4.0
qwen25_3b,209,9.08,0.2,0.2,1.0,1.0
qwen25_3b,213,18.16,0.4,0.4,3.0,4.0
qwen25_3b,214,18.16,0.4,0.4,1.0,2.0
qwen25_3b,206,9.08,0.2,0.2,1.0,1.0
qwen25_3b,212,18.16,0.4,0.4,3.0,4.0
qwen25_3b,210,18.16,0.4,0.4,6.0,5.0
qwen25_3b,217,18.16,0.4,0.4,5.0,4.0
qwen25_3b,216,18.16,0.4,0.4,6.0,3.0
qwen25_3b,215,18.16,0.4,0.4,5.0,4.0
qwen25_3b,218,18.16,0.4,0.4,5.0,4.0
qwen25_3b,219,18.16,0.4,0.4,5.0,2.0
qwen25_3b,221,18.16,0.4,0.4,5.0,4.0
qwen25_3b,220,18.16,0.4,0.4,5.0,4.0
qwen25_3b,224,18.16,0.4,0.4,5.0,4.0
qwen25_3b,222,18.16,0.4,0.4,3.0,4.0
qwen25_3b,225,18.16,0.4,0.4,6.0,5.0
qwen25_3b,226,18.16,0.4,0.4,5.0,4.0
qwen25_3b,227,18.16,0.4,0.4,7.0,7.0
qwen25_3b,231,18.16,0.4,0.4,5.0,6.0
qwen25_3b,229,18.16,0.4,0.4,3.0,4.0
qwen25_3b,223,18.16,0.4,0.4,5.0,4.0
qwen25_3b,230,18.16,0.4,0.4,4.0,4.0
qwen25_3b,234,18.16,0.4,0.4,2.0,5.0
qwen25_3b,238,18.16,0.4,0.4,3.0,2.0
qwen25_3b,232,18.16,0.4,0.4,1.0,1.0
qwen25_3b,236,18.16,0.4,0.4,1.0,2.0
qwen25_3b,233,18.16,0.4,0.4,1.0,1.0
qwen25_3b,244,27.24,0.6,0.6,1.0,1.0
qwen25_3b,241,27.24,0.6,0.6,5.0,4.0
qwen25_3b,228,18.16,0.4,0.4,3.0,4.0
qwen25_3b,235,18.16,0.4,0.4,1.0,1.0
qwen25_3b,239,18.16,0.4,0.4,5.0,4.0
qwen25_3b,242,27.24,0.6,0.6,4.0,4.0
qwen25_3b,243,27.24,0.6,0.6,2.0,4.0
qwen25_3b,237,18.16,0.4,0.4,3.0,1.0
qwen25_3b,240,27.24,0.6,0.6,6.0,4.0
qwen25_3b,245,27.24,0.6,0.6,5.0,4.0
qwen25_3b,247,27.24,0.6,0.6,5.0,4.0
qwen25_3b,246,27.24,0.6,0.6,6.0,4.0
qwen25_3b,249,27.24,0.6,0.6,5.0,2.0
qwen25_3b,253,27.24,0.6,0.6,6.0,4.0
qwen25_3b,248,27.24,0.6,0.6,7.0,4.0
qwen25_3b,251,27.24,0.6,0.6,5.0,4.0
qwen25_3b,254,27.24,0.6,0.6,3.0,4.0
qwen25_3b,250,27.24,0.6,0.6,5.0,5.0
qwen25_3b,258,27.24,0.6,0.6,3.0,3.0
qwen25_3b,255,27.24,0.6,0.6,5.0,6.0
qwen25_3b,259,27.24,0.6,0.6,3.0,4.0
qwen25_3b,262,27.24,0.6,0.6,1.0,1.0
qwen25_3b,257,27.24,0.6,0.6,7.0,7.0
qwen25_3b,260,27.24,0.6,0.6,5.0,4.0
qwen25_3b,263,27.24,0.6,0.6,1.0,1.0
qwen25_3b,252,27.24,0.6,0.6,6.0,4.0
qwen25_3b,264,27.24,0.6,0.6,2.0,1.0
qwen25_3b,256,27.24,0.6,0.6,4.0,4.0
qwen25_3b,265,27.24,0.6,0.6,5.0,2.0
qwen25_3b,266,27.24,0.6,0.6,4.0,4.0
qwen25_3b,261,27.24,0.6,0.6,4.0,4.0
qwen25_3b,271,36.32,0.8,0.8,6.0,4.0
qwen25_3b,268,27.24,0.6,0.6,5.0,4.0
qwen25_3b,267,27.24,0.6,0.6,4.0,4.0
qwen25_3b,272,36.32,0.8,0.8,3.0,4.0
qwen25_3b,269,27.24,0.6,0.6,2.0,2.0
qwen25_3b,270,36.32,0.8,0.8,6.0,4.0
qwen25_3b,276,36.32,0.8,0.8,5.0,4.0
qwen25_3b,278,36.32,0.8,0.8,5.0,6.0
qwen25_3b,273,36.32,0.8,0.8,2.0,2.0
qwen25_3b,274,36.32,0.8,0.8,7.0,1.0
qwen25_3b,277,36.32,0.8,0.8,6.0,4.0
qwen25_3b,280,36.32,0.8,0.8,5.0,4.0
qwen25_3b,281,36.32,0.8,0.8,5.0,4.0
qwen25_3b,275,36.32,0.8,0.8,5.0,4.0
qwen25_3b,283,36.32,0.8,0.8,6.0,6.0
qwen25_3b,282,36.32,0.8,0.8,4.0,4.0
qwen25_3b,284,36.32,0.8,0.8,4.0,4.0
qwen25_3b,279,36.32,0.8,0.8,3.0,4.0
qwen25_3b,285,36.32,0.8,0.8,5.0,6.0
qwen25_3b,287,36.32,0.8,0.8,7.0,6.0
qwen25_3b,286,36.32,0.8,0.8,5.0,4.0
qwen25_3b,289,36.32,0.8,0.8,5.0,4.0
qwen25_3b,293,36.32,0.8,0.8,1.0,1.0
qwen25_3b,288,36.32,0.8,0.8,5.0,4.0
qwen25_3b,291,36.32,0.8,0.8,3.0,4.0
qwen25_3b,296,36.32,0.8,0.8,5.0,2.0
qwen25_3b,290,36.32,0.8,0.8,4.0,4.0
qwen25_3b,298,36.32,0.8,0.8,2.0,2.0
qwen25_3b,295,36.32,0.8,0.8,5.0,1.0
qwen25_3b,294,36.32,0.8,0.8,5.0,2.0
qwen25_3b,292,36.32,0.8,0.8,1.0,1.0
qwen25_3b,297,36.32,0.8,0.8,3.0,7.0
qwen25_3b,299,36.32,0.8,0.8,3.0,2.0
qwen25_3b,300,45.4,1.0,1.0,6.0,4.0
qwen25_3b,302,45.4,1.0,1.0,2.0,4.0
qwen25_3b,306,45.4,1.0,1.0,5.0,3.0
qwen25_3b,307,45.4,1.0,1.0,5.0,4.0
qwen25_3b,323,45.4,1.0,1.0,,
qwen25_3b,304,45.4,1.0,1.0,1.0,1.0
qwen25_3b,301,45.4,1.0,1.0,6.0,4.0
qwen25_3b,305,45.4,1.0,1.0,4.0,4.0
qwen25_3b,308,45.4,1.0,1.0,5.0,4.0
qwen25_3b,310,45.4,1.0,1.0,5.0,3.0
qwen25_3b,309,45.4,1.0,1.0,5.0,4.0
qwen25_3b,303,45.4,1.0,1.0,3.0,4.0
qwen25_3b,311,45.4,1.0,1.0,3.0,4.0
qwen25_3b,314,45.4,1.0,1.0,5.0,4.0
qwen25_3b,315,45.4,1.0,1.0,5.0,4.0
qwen25_3b,317,45.4,1.0,1.0,5.0,4.0
qwen25_3b,318,45.4,1.0,1.0,4.0,4.0
qwen25_3b,313,45.4,1.0,1.0,2.0,3.0
qwen25_3b,316,45.4,1.0,1.0,5.0,2.0
qwen25_3b,319,45.4,1.0,1.0,3.0,2.0
qwen25_3b,325,45.4,1.0,1.0,3.0,2.0
qwen25_3b,328,45.4,1.0,1.0,5.0,1.0
qwen25_3b,326,45.4,1.0,1.0,5.0,4.0
qwen25_3b,324,45.4,1.0,1.0,5.0,4.0
qwen25_3b,321,45.4,1.0,1.0,5.0,5.0
qwen25_3b,322,45.4,1.0,1.0,1.0,1.0
qwen25_3b,327,45.4,1.0,1.0,4.0,6.0
qwen25_3b,320,45.4,1.0,1.0,4.0,3.0
qwen25_3b,329,45.4,1.0,1.0,1.0,4.0
qwen25_3b,312,45.4,1.0,1.0,2.0,4.0
qwen25_7b,7,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,10,-27.3,-1.0,-1.0,2.0,3.0
qwen25_7b,17,-27.3,-1.0,-1.0,2.0,2.0
qwen25_7b,4,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,0,-27.3,-1.0,-1.0,1.0,2.0
qwen25_7b,18,-27.3,-1.0,-1.0,1.0,2.0
qwen25_7b,16,-27.3,-1.0,-1.0,2.0,2.0
qwen25_7b,19,-27.3,-1.0,-1.0,4.0,4.0
qwen25_7b,6,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,15,-27.3,-1.0,-1.0,3.0,4.0
qwen25_7b,1,-27.3,-1.0,-1.0,4.0,4.0
qwen25_7b,2,-27.3,-1.0,-1.0,4.0,4.0
qwen25_7b,3,-27.3,-1.0,-1.0,2.0,4.0
qwen25_7b,12,-27.3,-1.0,-1.0,2.0,4.0
qwen25_7b,13,-27.3,-1.0,-1.0,2.0,2.0
qwen25_7b,14,-27.3,-1.0,-1.0,4.0,4.0
qwen25_7b,11,-27.3,-1.0,-1.0,2.0,2.0
qwen25_7b,8,-27.3,-1.0,-1.0,1.0,4.0
qwen25_7b,5,-27.3,-1.0,-1.0,1.0,4.0
qwen25_7b,9,-27.3,-1.0,-1.0,1.0,4.0
qwen25_7b,20,-27.3,-1.0,-1.0,1.0,2.0
qwen25_7b,23,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,26,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,28,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,29,-27.3,-1.0,-1.0,1.0,2.0
qwen25_7b,25,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,24,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,22,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,32,-21.84,-0.8,-0.8,2.0,3.0
qwen25_7b,31,-21.84,-0.8,-0.8,2.0,6.0
qwen25_7b,34,-21.84,-0.8,-0.8,1.0,7.0
qwen25_7b,21,-27.3,-1.0,-1.0,1.0,2.0
qwen25_7b,33,-21.84,-0.8,-0.8,4.0,4.0
qwen25_7b,37,-21.84,-0.8,-0.8,2.0,4.0
qwen25_7b,30,-21.84,-0.8,-0.8,2.0,2.0
qwen25_7b,36,-21.84,-0.8,-0.8,4.0,1.0
qwen25_7b,27,-27.3,-1.0,-1.0,1.0,1.0
qwen25_7b,35,-21.84,-0.8,-0.8,2.0,4.0
qwen25_7b,39,-21.84,-0.8,-0.8,2.0,3.0
qwen25_7b,44,-21.84,-0.8,-0.8,3.0,2.0
qwen25_7b,38,-21.84,-0.8,-0.8,4.0,4.0
qwen25_7b,46,-21.84,-0.8,-0.8,2.0,2.0
qwen25_7b,42,-21.84,-0.8,-0.8,3.0,4.0
qwen25_7b,45,-21.84,-0.8,-0.8,3.0,4.0
qwen25_7b,41,-21.84,-0.8,-0.8,3.0,3.0
qwen25_7b,48,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,53,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,47,-21.84,-0.8,-0.8,3.0,4.0
qwen25_7b,54,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,56,-21.84,-0.8,-0.8,1.0,2.0
qwen25_7b,55,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,43,-21.84,-0.8,-0.8,2.0,3.0
qwen25_7b,51,-21.84,-0.8,-0.8,1.0,2.0
qwen25_7b,49,-21.84,-0.8,-0.8,2.0,4.0
qwen25_7b,52,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,50,-21.84,-0.8,-0.8,2.0,4.0
qwen25_7b,57,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,40,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,58,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,63,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,60,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,61,-16.38,-0.6,-0.6,4.0,4.0
qwen25_7b,62,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,69,-16.38,-0.6,-0.6,1.0,2.0
qwen25_7b,59,-21.84,-0.8,-0.8,1.0,1.0
qwen25_7b,71,-16.38,-0.6,-0.6,2.0,1.0
qwen25_7b,66,-16.38,-0.6,-0.6,4.0,1.0
qwen25_7b,68,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,65,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,74,-16.38,-0.6,-0.6,2.0,3.0
qwen25_7b,67,-16.38,-0.6,-0.6,3.0,2.0
qwen25_7b,75,-16.38,-0.6,-0.6,4.0,4.0
qwen25_7b,64,-16.38,-0.6,-0.6,2.0,2.0
qwen25_7b,77,-16.38,-0.6,-0.6,4.0,2.0
qwen25_7b,72,-16.38,-0.6,-0.6,4.0,4.0
qwen25_7b,70,-16.38,-0.6,-0.6,1.0,2.0
qwen25_7b,76,-16.38,-0.6,-0.6,2.0,2.0
qwen25_7b,73,-16.38,-0.6,-0.6,4.0,4.0
qwen25_7b,78,-16.38,-0.6,-0.6,2.0,2.0
qwen25_7b,81,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,80,-16.38,-0.6,-0.6,2.0,4.0
qwen25_7b,82,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,79,-16.38,-0.6,-0.6,3.0,4.0
qwen25_7b,86,-16.38,-0.6,-0.6,1.0,2.0
qwen25_7b,84,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,88,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,83,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,91,-10.92,-0.4,-0.4,4.0,4.0
qwen25_7b,87,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,92,-10.92,-0.4,-0.4,2.0,5.0
qwen25_7b,97,-10.92,-0.4,-0.4,3.0,2.0
qwen25_7b,94,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,93,-10.92,-0.4,-0.4,4.0,4.0
qwen25_7b,89,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,96,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,90,-10.92,-0.4,-0.4,5.0,4.0
qwen25_7b,98,-10.92,-0.4,-0.4,4.0,4.0
qwen25_7b,95,-10.92,-0.4,-0.4,4.0,4.0
qwen25_7b,99,-10.92,-0.4,-0.4,2.0,4.0
qwen25_7b,100,-10.92,-0.4,-0.4,2.0,4.0
qwen25_7b,85,-16.38,-0.6,-0.6,1.0,1.0
qwen25_7b,101,-10.92,-0.4,-0.4,4.0,3.0
qwen25_7b,102,-10.92,-0.4,-0.4,3.0,4.0
qwen25_7b,103,-10.92,-0.4,-0.4,3.0,4.0
qwen25_7b,106,-10.92,-0.4,-0.4,2.0,2.0
qwen25_7b,107,-10.92,-0.4,-0.4,2.0,4.0
qwen25_7b,108,-10.92,-0.4,-0.4,1.0,4.0
qwen25_7b,110,-10.92,-0.4,-0.4,4.0,4.0
