alpha,domain,condition,w_pos,w_neg,w_first,w_second,p_pos,p_neg,p_first,p_second,logit_diff_semantic,logit_diff_positional,Condition,neutral,logit_diff_semantic_centered,logit_diff_positional_centered,normed_alpha,z_logit_diff_semantic,z_a,neutral_binary
-41.9,epistemic,1,True,False,True,False,3.5834091249853367e-10,1.0,3.5834091249853367e-10,1.0,-21.75,-21.75,congruent,semantic,-3.0,-3.0,-1.0,-1.4648736555906665,-1.5807794395055992,1
-33.52,epistemic,1,True,False,True,False,1.1641532182693479e-10,1.0,1.1641532182693479e-10,1.0,-22.875,-22.875,congruent,semantic,-4.125,-4.125,-0.8,-1.5579583684149327,-1.2646235516044795,1
-25.14,epistemic,1,True,False,True,False,4.843059286940843e-11,1.0,4.843059286940843e-11,1.0,-23.75,-23.75,congruent,semantic,-5.0,-5.0,-0.6,-1.6303575895004732,-0.9484676637033594,1
-16.76,epistemic,1,True,False,True,False,5.502442945726216e-11,1.0,5.502442945726216e-11,1.0,-23.625,-23.625,congruent,semantic,-4.875,-4.875,-0.4,-1.6200148436311101,-0.6323117758022397,1
-8.38,epistemic,1,True,False,True,False,2.7830537874251604e-10,1.0,2.7830537874251604e-10,1.0,-22.0,-22.0,congruent,semantic,-3.25,-3.25,-0.2,-1.4855591473293923,-0.31615588790111987,1
0.0,epistemic,1,True,False,True,False,7.188646122813225e-09,1.0,7.188646122813225e-09,1.0,-18.75,-18.75,congruent,semantic,0.0,0.0,0.0,-1.2166477547259562,1.2763765313404844e-18,1
11.6,epistemic,1,True,False,True,False,7.486343383789062e-05,1.0,7.486343383789062e-05,1.0,-9.5,-9.5,congruent,semantic,9.25,9.25,0.2,-0.4512845603931001,0.31615588790111987,1
23.2,epistemic,1,True,False,True,False,0.99609375,0.003173828125,0.99609375,0.003173828125,5.75,5.75,congruent,semantic,24.5,24.5,0.4,0.8105304356691765,0.6323117758022397,1
34.8,epistemic,1,True,False,True,False,1.0,2.905726432800293e-06,1.0,2.905726432800293e-06,12.75,12.75,congruent,semantic,31.5,31.5,0.6,1.3897242043535,0.9484676637033594,1
46.4,epistemic,1,True,False,True,False,1.0,2.384185791015625e-07,1.0,2.384185791015625e-07,15.25,15.25,congruent,semantic,34.0,34.0,0.8,1.5965791217407586,1.2646235516044795,1
58.0,epistemic,1,True,False,True,False,1.0,2.384185791015625e-07,1.0,2.384185791015625e-07,15.25,15.25,congruent,semantic,34.0,34.0,1.0,1.5965791217407586,1.5807794395055992,1
-41.9,epistemic,-1,True,False,False,True,1.6079866327345371e-09,1.0,1.0,1.6079866327345371e-09,-20.25,20.25,incongruent,semantic,-6.25,6.25,-1.0,-1.3407607051583113,-1.5807794395055992,1
-33.52,epistemic,-1,True,False,False,True,3.4051481634378433e-09,1.0,1.0,3.4051481634378433e-09,-19.5,19.5,incongruent,semantic,-5.5,5.5,-0.8,-1.2787042299421338,-1.2646235516044795,1
-25.14,epistemic,-1,True,False,False,True,4.9476511776447304e-09,1.0,1.0,4.9476511776447304e-09,-19.125,19.125,incongruent,semantic,-5.125,5.125,-0.6,-1.247675992334045,-0.9484676637033594,1
-16.76,epistemic,-1,True,False,False,True,4.3655745685100555e-09,1.0,1.0,4.3655745685100555e-09,-19.25,19.25,incongruent,semantic,-5.25,5.25,-0.4,-1.258018738203408,-0.6323117758022397,1
-8.38,epistemic,-1,True,False,False,True,1.7229467630386353e-08,1.0,1.0,1.7229467630386353e-08,-17.875,17.875,incongruent,semantic,-3.875,3.875,-0.2,-1.1442485336404158,-0.31615588790111987,1
0.0,epistemic,-1,True,False,False,True,8.307397365570068e-07,1.0,1.0,8.307397365570068e-07,-14.0,14.0,incongruent,semantic,0.0,0.0,0.0,-0.8236234116901653,1.2763765313404844e-18,1
11.6,epistemic,-1,True,False,False,True,0.0019302368164062,1.0,1.0,0.0019302368164062,-6.25,6.25,incongruent,semantic,7.75,-7.75,0.2,-0.18237316778966417,0.31615588790111987,1
23.2,epistemic,-1,True,False,False,True,0.953125,0.04736328125,0.04736328125,0.953125,3.0,-3.0,incongruent,semantic,17.0,-17.0,0.4,0.5829900265431921,0.6323117758022397,1
34.8,epistemic,-1,True,False,False,True,1.0,5.817413330078125e-05,5.817413330078125e-05,1.0,9.75,-9.75,incongruent,semantic,23.75,-23.75,0.6,1.14149830348879,0.9484676637033594,1
46.4,epistemic,-1,True,False,False,True,1.0,3.0547380447387695e-07,3.0547380447387695e-07,1.0,15.0,-15.0,incongruent,semantic,29.0,-29.0,0.8,1.5758936300020328,1.2646235516044795,1
58.0,epistemic,-1,True,False,False,True,1.0,8.7544322013855e-08,8.7544322013855e-08,1.0,16.25,-16.25,incongruent,semantic,30.25,-30.25,1.0,1.679321088695662,1.5807794395055992,1
-41.9,epistemic,1,Logical,Illogical,Logical,Illogical,9.632110595703124e-05,1.0,9.632110595703124e-05,1.0,-9.25,-9.25,congruent,semantic,-1.5,-1.5,-1.0,-0.4305990686543743,-1.5807794395055992,1
-33.52,epistemic,1,Logical,Illogical,Logical,Illogical,1.2993812561035156e-05,1.0,1.2993812561035156e-05,1.0,-11.25,-11.25,congruent,semantic,-3.5,-3.5,-0.8,-0.596083002564181,-1.2646235516044795,1
-25.14,epistemic,1,Logical,Illogical,Logical,Illogical,3.725290298461914e-06,1.0,3.725290298461914e-06,1.0,-12.5,-12.5,congruent,semantic,-4.75,-4.75,-0.6,-0.6995104612578101,-0.9484676637033594,1
-16.76,epistemic,1,Logical,Illogical,Logical,Illogical,2.264976501464844e-06,1.0,2.264976501464844e-06,1.0,-13.0,-13.0,congruent,semantic,-5.25,-5.25,-0.4,-0.7408814447352619,-0.6323117758022397,1
-8.38,epistemic,1,Logical,Illogical,Logical,Illogical,1.0132789611816406e-05,1.0,1.0132789611816406e-05,1.0,-11.5,-11.5,congruent,semantic,-3.75,-3.75,-0.2,-0.6167684943029069,-0.31615588790111987,1
0.0,epistemic,1,Logical,Illogical,Logical,Illogical,0.0004310607910156,1.0,0.0004310607910156,1.0,-7.75,-7.75,congruent,semantic,0.0,0.0,0.0,-0.3064861182220192,1.2763765313404844e-18,1
11.6,epistemic,1,Logical,Illogical,Logical,Illogical,0.62109375,0.376953125,0.62109375,0.376953125,0.5,0.5,congruent,semantic,8.25,8.25,0.2,0.3761351091559336,0.31615588790111987,1
23.2,epistemic,1,Logical,Illogical,Logical,Illogical,1.0,0.0009117126464843,1.0,0.0009117126464843,7.0,7.0,congruent,semantic,14.75,14.75,0.4,0.9139578943628056,0.6323117758022397,1
34.8,epistemic,1,Logical,Illogical,Logical,Illogical,1.0,3.528594970703125e-05,1.0,3.528594970703125e-05,10.25,10.25,congruent,semantic,18.0,18.0,0.6,1.1828692869662416,0.9484676637033594,1
46.4,epistemic,1,Logical,Illogical,Logical,Illogical,1.0,4.798173904418945e-06,1.0,4.798173904418945e-06,12.25,12.25,congruent,semantic,20.0,20.0,0.8,1.3483532208760485,1.2646235516044795,1
58.0,epistemic,1,Logical,Illogical,Logical,Illogical,1.0,1.3709068298339844e-06,1.0,1.3709068298339844e-06,13.5,13.5,congruent,semantic,21.25,21.25,1.0,1.4517806795696775,1.5807794395055992,1
-41.9,epistemic,-1,Logical,Illogical,Illogical,Logical,1.251464709639549e-09,1.0,1.0,1.251464709639549e-09,-20.5,20.5,incongruent,semantic,-2.125,2.125,-1.0,-1.3614461968970373,-1.5807794395055992,1
-33.52,epistemic,-1,Logical,Illogical,Illogical,Logical,2.7830537874251604e-10,1.0,1.0,2.7830537874251604e-10,-22.0,22.0,incongruent,semantic,-3.625,3.625,-0.8,-1.4855591473293923,-1.2646235516044795,1
-25.14,epistemic,-1,Logical,Illogical,Illogical,Logical,1.9190338207408783e-10,1.0,1.0,1.9190338207408783e-10,-22.375,22.375,incongruent,semantic,-4.0,4.0,-0.6,-1.5165873849374811,-0.9484676637033594,1
-16.76,epistemic,-1,Logical,Illogical,Illogical,Logical,1.318767317570746e-10,1.0,1.0,1.318767317570746e-10,-22.75,22.75,incongruent,semantic,-4.375,4.375,-0.4,-1.5476156225455697,-0.6323117758022397,1
-8.38,epistemic,-1,Logical,Illogical,Illogical,Logical,2.4556356947869057e-10,1.0,1.0,2.4556356947869057e-10,-22.125,22.125,incongruent,semantic,-3.75,3.75,-0.2,-1.495901893198755,-0.31615588790111987,1
0.0,epistemic,-1,Logical,Illogical,Illogical,Logical,1.0477378964424132e-08,1.0,1.0,1.0477378964424132e-08,-18.375,18.375,incongruent,semantic,0.0,0.0,0.0,-1.1856195171178676,1.2763765313404844e-18,1
11.6,epistemic,-1,Logical,Illogical,Illogical,Logical,0.0179443359375,0.98046875,0.98046875,0.0179443359375,-4.0,4.0,incongruent,semantic,14.375,-14.375,0.2,0.0037962578588684377,0.31615588790111987,1
23.2,epistemic,-1,Logical,Illogical,Illogical,Logical,0.9609375,0.037353515625,0.037353515625,0.9609375,3.25,-3.25,incongruent,semantic,21.625,-21.625,0.4,0.6036755182819179,0.6323117758022397,1
34.8,epistemic,-1,Logical,Illogical,Illogical,Logical,0.99609375,0.004058837890625,0.004058837890625,0.99609375,5.5,-5.5,incongruent,semantic,23.875,-23.875,0.6,0.7898449439304506,0.9484676637033594,1
46.4,epistemic,-1,Logical,Illogical,Illogical,Logical,1.0,0.0009117126464843,0.0009117126464843,1.0,7.0,-7.0,incongruent,semantic,25.375,-25.375,0.8,0.9139578943628056,1.2646235516044795,1
58.0,epistemic,-1,Logical,Illogical,Illogical,Logical,1.0,0.0002031326293945,0.0002031326293945,1.0,8.5,-8.5,incongruent,semantic,26.875,-26.875,1.0,1.0380708447951608,1.5807794395055992,1
-41.9,epistemic,1,Certain,Uncertain,Certain,Uncertain,7.867813110351562e-06,1.0,7.867813110351562e-06,1.0,-11.75,-11.75,congruent,semantic,-1.25,-1.25,-1.0,-0.6374539860416327,-1.5807794395055992,1
-33.52,epistemic,1,Certain,Uncertain,Certain,Uncertain,6.139278411865234e-06,1.0,6.139278411865234e-06,1.0,-12.0,-12.0,congruent,semantic,-1.5,-1.5,-0.8,-0.6581394777803585,-1.2646235516044795,1
-25.14,epistemic,1,Certain,Uncertain,Certain,Uncertain,3.725290298461914e-06,1.0,3.725290298461914e-06,1.0,-12.5,-12.5,congruent,semantic,-2.0,-2.0,-0.6,-0.6995104612578101,-0.9484676637033594,1
-16.76,epistemic,1,Certain,Uncertain,Certain,Uncertain,2.905726432800293e-06,1.0,2.905726432800293e-06,1.0,-12.75,-12.75,congruent,semantic,-2.25,-2.25,-0.4,-0.720195952996536,-0.6323117758022397,1
-8.38,epistemic,1,Certain,Uncertain,Certain,Uncertain,4.798173904418945e-06,1.0,4.798173904418945e-06,1.0,-12.25,-12.25,congruent,semantic,-1.75,-1.75,-0.2,-0.6788249695190843,-0.31615588790111987,1
0.0,epistemic,1,Certain,Uncertain,Certain,Uncertain,2.753734588623047e-05,1.0,2.753734588623047e-05,1.0,-10.5,-10.5,congruent,semantic,0.0,0.0,0.0,-0.5340265273480035,1.2763765313404844e-18,1
11.6,epistemic,1,Certain,Uncertain,Certain,Uncertain,0.0140380859375,0.984375,0.0140380859375,0.984375,-4.25,-4.25,congruent,semantic,6.25,6.25,0.2,-0.016889233879857406,0.31615588790111987,1
23.2,epistemic,1,Certain,Uncertain,Certain,Uncertain,0.98046875,0.0179443359375,0.98046875,0.0179443359375,4.0,4.0,congruent,semantic,14.5,14.5,0.4,0.6657319934980955,0.6323117758022397,1
34.8,epistemic,1,Certain,Uncertain,Certain,Uncertain,1.0,0.0009117126464843,1.0,0.0009117126464843,7.0,7.0,congruent,semantic,17.5,17.5,0.6,0.9139578943628056,0.9484676637033594,1
46.4,epistemic,1,Certain,Uncertain,Certain,Uncertain,1.0,0.0005531311035156,1.0,0.0005531311035156,7.5,7.5,congruent,semantic,18.0,18.0,0.8,0.9553288778402573,1.2646235516044795,1
58.0,epistemic,1,Certain,Uncertain,Certain,Uncertain,1.0,0.0011672973632812,1.0,0.0011672973632812,6.75,6.75,congruent,semantic,17.25,17.25,1.0,0.8932724026240798,1.5807794395055992,1
-41.9,epistemic,-1,Certain,Uncertain,Uncertain,Certain,6.230038707144557e-11,1.0,1.0,6.230038707144557e-11,-23.5,23.5,incongruent,semantic,-3.75,3.75,-1.0,-1.6096720977617474,-1.5807794395055992,1
-33.52,epistemic,-1,Certain,Uncertain,Uncertain,Certain,4.6020431909710164e-10,1.0,1.0,4.6020431909710164e-10,-21.5,21.5,incongruent,semantic,-1.75,1.75,-0.8,-1.4441881638519405,-1.2646235516044795,1
-25.14,epistemic,-1,Certain,Uncertain,Uncertain,Certain,1.418811734765768e-09,1.0,1.0,1.418811734765768e-09,-20.375,20.375,incongruent,semantic,-0.625,0.625,-0.6,-1.3511034510276743,-0.9484676637033594,1
-16.76,epistemic,-1,Certain,Uncertain,Uncertain,Certain,6.693881005048752e-10,1.0,1.0,6.693881005048752e-10,-21.125,21.125,incongruent,semantic,-1.375,1.375,-0.4,-1.413159926243852,-0.6323117758022397,1
-8.38,epistemic,-1,Certain,Uncertain,Uncertain,Certain,4.6020431909710164e-10,1.0,1.0,4.6020431909710164e-10,-21.5,21.5,incongruent,semantic,-1.75,1.75,-0.2,-1.4441881638519405,-0.31615588790111987,1
0.0,epistemic,-1,Certain,Uncertain,Uncertain,Certain,2.648448571562767e-09,1.0,1.0,2.648448571562767e-09,-19.75,19.75,incongruent,semantic,0.0,0.0,0.0,-1.2993897216808596,1.2763765313404844e-18,1
11.6,epistemic,-1,Certain,Uncertain,Uncertain,Certain,4.798173904418945e-06,1.0,1.0,4.798173904418945e-06,-12.25,12.25,incongruent,semantic,7.5,-7.5,0.2,-0.6788249695190843,0.31615588790111987,1
23.2,epistemic,-1,Certain,Uncertain,Uncertain,Certain,0.0019302368164062,1.0,1.0,0.0019302368164062,-6.25,6.25,incongruent,semantic,13.5,-13.5,0.4,-0.18237316778966417,0.6323117758022397,1
34.8,epistemic,-1,Certain,Uncertain,Uncertain,Certain,0.006683349609375,0.9921875,0.9921875,0.006683349609375,-5.0,5.0,incongruent,semantic,14.75,-14.75,0.6,-0.07894570909603493,0.9484676637033594,1
46.4,epistemic,-1,Certain,Uncertain,Uncertain,Certain,0.00860595703125,0.9921875,0.9921875,0.00860595703125,-4.75,4.75,incongruent,semantic,15.0,-15.0,0.8,-0.058260217357309095,1.2646235516044795,1
58.0,epistemic,-1,Certain,Uncertain,Uncertain,Certain,0.00860595703125,0.9921875,0.9921875,0.00860595703125,-4.75,4.75,incongruent,semantic,15.0,-15.0,1.0,-0.058260217357309095,1.5807794395055992,1
-41.9,epistemic,1,Valid,Invalid,Valid,Invalid,2.066371962428093e-09,1.0,2.066371962428093e-09,1.0,-20.0,-20.0,congruent,semantic,-3.5,-3.5,-1.0,-1.3200752134195854,-1.5807794395055992,1
-33.52,epistemic,1,Valid,Invalid,Valid,Invalid,1.251464709639549e-09,1.0,1.251464709639549e-09,1.0,-20.5,-20.5,congruent,semantic,-4.0,-4.0,-0.8,-1.3614461968970373,-1.2646235516044795,1
-25.14,epistemic,1,Valid,Invalid,Valid,Invalid,9.74978320300579e-10,1.0,9.74978320300579e-10,1.0,-20.75,-20.75,congruent,semantic,-4.25,-4.25,-0.6,-1.382131688635763,-0.9484676637033594,1
-16.76,epistemic,1,Valid,Invalid,Valid,Invalid,8.585629984736443e-10,1.0,8.585629984736443e-10,1.0,-20.875,-20.875,congruent,semantic,-4.375,-4.375,-0.4,-1.3924744345051259,-0.6323117758022397,1
-8.38,epistemic,1,Valid,Invalid,Valid,Invalid,3.4051481634378433e-09,1.0,3.4051481634378433e-09,1.0,-19.5,-19.5,congruent,semantic,-3.0,-3.0,-0.2,-1.2787042299421338,-0.31615588790111987,1
0.0,epistemic,1,Valid,Invalid,Valid,Invalid,6.845220923423767e-08,1.0,6.845220923423767e-08,1.0,-16.5,-16.5,congruent,semantic,0.0,0.0,0.0,-1.0304783290774238,1.2763765313404844e-18,1
11.6,epistemic,1,Valid,Invalid,Valid,Invalid,0.0011672973632812,1.0,0.0011672973632812,1.0,-6.75,-6.75,congruent,semantic,9.75,9.75,0.2,-0.22374415126711586,0.31615588790111987,1
23.2,epistemic,1,Valid,Invalid,Valid,Invalid,0.9609375,0.037353515625,0.9609375,0.037353515625,3.25,3.25,congruent,semantic,19.75,19.75,0.4,0.6036755182819179,0.6323117758022397,1
34.8,epistemic,1,Valid,Invalid,Valid,Invalid,1.0,0.0002031326293945,1.0,0.0002031326293945,8.5,8.5,congruent,semantic,25.0,25.0,0.6,1.0380708447951608,0.9484676637033594,1
46.4,epistemic,1,Valid,Invalid,Valid,Invalid,1.0,2.1457672119140625e-05,1.0,2.1457672119140625e-05,10.75,10.75,congruent,semantic,27.25,27.25,0.8,1.2242402704436932,1.2646235516044795,1
58.0,epistemic,1,Valid,Invalid,Valid,Invalid,1.0,1.0132789611816406e-05,1.0,1.0132789611816406e-05,11.5,11.5,congruent,semantic,28.0,28.0,1.0,1.2862967456598708,1.5807794395055992,1
-41.9,epistemic,-1,Valid,Invalid,Invalid,Valid,5.893525667488575e-10,1.0,1.0,5.893525667488575e-10,-21.25,21.25,incongruent,semantic,-1.5,1.5,-1.0,-1.4235026721132147,-1.5807794395055992,1
-33.52,epistemic,-1,Valid,Invalid,Invalid,Valid,1.1641532182693479e-10,1.0,1.0,1.1641532182693479e-10,-22.875,22.875,incongruent,semantic,-3.125,3.125,-0.8,-1.5579583684149327,-1.2646235516044795,1
-25.14,epistemic,-1,Valid,Invalid,Invalid,Valid,4.274625098332763e-11,1.0,1.0,4.274625098332763e-11,-23.875,23.875,incongruent,semantic,-4.125,4.125,-0.6,-1.6407003353698362,-0.9484676637033594,1
-16.76,epistemic,-1,Valid,Invalid,Invalid,Valid,4.843059286940843e-11,1.0,1.0,4.843059286940843e-11,-23.75,23.75,incongruent,semantic,-4.0,4.0,-0.4,-1.6303575895004732,-0.6323117758022397,1
-8.38,epistemic,-1,Valid,Invalid,Invalid,Valid,1.9190338207408783e-10,1.0,1.0,1.9190338207408783e-10,-22.375,22.375,incongruent,semantic,-2.625,2.625,-0.2,-1.5165873849374811,-0.31615588790111987,1
0.0,epistemic,-1,Valid,Invalid,Invalid,Valid,2.648448571562767e-09,1.0,1.0,2.648448571562767e-09,-19.75,19.75,incongruent,semantic,0.0,0.0,0.0,-1.2993897216808596,1.2763765313404844e-18,1
11.6,epistemic,-1,Valid,Invalid,Invalid,Valid,0.0004310607910156,1.0,1.0,0.0004310607910156,-7.75,7.75,incongruent,semantic,12.0,-12.0,0.2,-0.3064861182220192,0.31615588790111987,1
23.2,epistemic,-1,Valid,Invalid,Invalid,Valid,0.94140625,0.06005859375,0.06005859375,0.94140625,2.75,-2.75,incongruent,semantic,22.5,-22.5,0.4,0.5623045348044662,0.6323117758022397,1
34.8,epistemic,-1,Valid,Invalid,Invalid,Valid,0.99609375,0.002471923828125,0.002471923828125,0.99609375,6.0,-6.0,incongruent,semantic,25.75,-25.75,0.6,0.8312159274079023,0.9484676637033594,1
46.4,epistemic,-1,Valid,Invalid,Invalid,Valid,1.0,0.0005531311035156,0.0005531311035156,1.0,7.5,-7.5,incongruent,semantic,27.25,-27.25,0.8,0.9553288778402573,1.2646235516044795,1
58.0,epistemic,-1,Valid,Invalid,Invalid,Valid,1.0,0.0002613067626953,0.0002613067626953,1.0,8.25,-8.25,incongruent,semantic,28.0,-28.0,1.0,1.017385353056435,1.5807794395055992,1
-41.9,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.3709068298339844e-06,1.0,1.3709068298339844e-06,1.0,-13.5,-13.5,congruent,semantic,-4.5,-4.5,-1.0,-0.7822524282127136,-1.5807794395055992,1
-33.52,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,3.0547380447387695e-07,1.0,3.0547380447387695e-07,1.0,-15.0,-15.0,congruent,semantic,-6.0,-6.0,-0.8,-0.9063653786450686,-1.2646235516044795,1
-25.14,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.8533319234848025e-07,1.0,1.8533319234848025e-07,1.0,-15.5,-15.5,congruent,semantic,-6.5,-6.5,-0.6,-0.9477363621225203,-0.9484676637033594,1
-16.76,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.0654330253601074e-06,1.0,1.0654330253601074e-06,1.0,-13.75,-13.75,congruent,semantic,-4.75,-4.75,-0.4,-0.8029379199514394,-0.6323117758022397,1
-8.38,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,4.798173904418945e-06,1.0,4.798173904418945e-06,1.0,-12.25,-12.25,congruent,semantic,-3.25,-3.25,-0.2,-0.6788249695190843,-0.31615588790111987,1
0.0,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,0.0001230239868164,1.0,0.0001230239868164,1.0,-9.0,-9.0,congruent,semantic,0.0,0.0,0.0,-0.40991357691564845,1.2763765313404844e-18,1
11.6,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,0.07568359375,0.92578125,0.07568359375,0.92578125,-2.5,-2.5,congruent,semantic,6.5,6.5,0.2,0.12790920829122351,0.31615588790111987,1
23.2,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,0.953125,0.04736328125,0.953125,0.04736328125,3.0,3.0,congruent,semantic,12.0,12.0,0.4,0.5829900265431921,0.6323117758022397,1
34.8,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.0,0.0007095336914062,1.0,0.0007095336914062,7.25,7.25,congruent,semantic,16.25,16.25,0.6,0.9346433861015315,0.9484676637033594,1
46.4,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.0,2.1457672119140625e-05,1.0,2.1457672119140625e-05,10.75,10.75,congruent,semantic,19.75,19.75,0.8,1.2242402704436932,1.2646235516044795,1
58.0,epistemic,1,Accurate,Inaccurate,Accurate,Inaccurate,1.0,2.264976501464844e-06,1.0,2.264976501464844e-06,13.0,13.0,congruent,semantic,22.0,22.0,1.0,1.4104096960922259,1.5807794395055992,1
-41.9,epistemic,-1,Accurate,Inaccurate,Inaccurate,Accurate,2.0236257114447653e-11,1.0,1.0,2.0236257114447653e-11,-24.625,24.625,incongruent,semantic,-6.75,6.75,-1.0,-1.7027568105860136,-1.5807794395055992,1
-33.52,epistemic,-1,Accurate,Inaccurate,Inaccurate,Accurate,6.565414878423326e-12,1.0,1.0,6.565414878423326e-12,-25.75,25.75,incongruent,semantic,-7.875,7.875,-0.8,-1.79584152341028,-1.2646235516044795,1
